ANNOT	NSNP	STD	HSQ1	HSQ1_SE	HSQ2	HSQ2_SE	GCOV	GCOV_SE	GCORSQ	GCORSQ_SE	HSQ1_ENRICHMENT	HSQ1_ENRICHMENT_SE	HSQ2_ENRICHMENT	HSQ2_ENRICHMENT_SE	GCOV_ENRICHMENT	GCOV_ENRICHMENT_SE	GCORSQ_ENRICHMENT	GCORSQ_ENRICHMENT_SE	GCORSQ_ENRICHMENT_P	GCOVSQ_DIFF	GCOVSQ_DIFF_SE	GCOVSQ_DIFF_P
FST5	202851	0.40096864	0.039189871685001036	0.008952353802086905	0.05695726132145575	0.007498361980131467	0.03550836515392081	0.006817330771601417	0.540090265100037	0.16924333401960565	0.9511940638988481	0.18923022091421182	1.287176085853064	0.14587066398020418	1.1637869443027247	0.18651088323044646	1.074155282632375	0.18651562450473097	0.6926649905042677	9.379973525333379e-05	0.0003373453161938774	0.7821419320740437
Recomb_rate_10kb1	203089	0.4008649	0.0420379307158327	0.004915390331742487	0.040063911923244475	0.0048770655580609905	0.024702862077614712	0.0038595201203115354	0.3766652637358011	0.11204891381059524	1.003848024608212	0.12689029365169646	0.9016242114626047	0.11572649942658278	0.8176524601153529	0.0875773491510055	0.7491284493916714	0.14327819001373568	0.08621462253880763	-0.000250190504342224	0.00017197088910053435	0.15208952464816616
Recomb_rate_10kb2	202612	0.40053505	0.040361300311138285	0.004561750753682025	0.04230128572613373	0.003686225927996073	0.025473537460755757	0.0033243994877366584	0.3870867282311414	0.11035470294363375	0.9718462051063421	0.08782808078758335	0.9534508797301351	0.07163854096621024	0.8506335904649497	0.07587656604073996	0.7698551165134387	0.13890651323979678	0.10394364756265762	-0.00022058225239476393	0.0001527145274737882	0.15498832703709842
Recomb_rate_10kb3	202850	0.4008205	0.042499194094704346	0.005467106133491423	0.04772502492290827	0.0044721662396450725	0.030612647227267975	0.003630598405971009	0.46000236900116226	0.12310065861691633	1.0243969832824544	0.0937572452989952	1.0767122400542102	0.08100003819600897	1.022185328354604	0.07912169308831585	0.9148729510880637	0.13705867128520086	0.5374129865763266	-9.511399871884782e-05	0.000168532478760247	0.5750795212432518
Recomb_rate_10kb4	202880	0.40095583	0.044694473720510254	0.006012878904373691	0.050492034718702825	0.005706936325188031	0.03539429059945822	0.003453318490625648	0.5460877430848151	0.13881995411880765	1.082137107505303	0.07486014010290097	1.1423749194970787	0.06316523823129294	1.1785543697771095	0.05985222119997134	1.0860833307312008	0.10466378695328978	0.4147912961130995	0.00010798357598919761	0.0001356852988976489	0.429964638717677
Recomb_rate_10kb5	202821	0.4009606	0.03752088777383037	0.014151401678682016	0.04050924377268546	0.014083199686890618	0.034897295356469495	0.007356740295924496	0.6232522230464178	0.26093905402883333	0.9177113947820605	0.2924798553769054	0.9258731686034193	0.25014492640985697	1.1310100871774171	0.2299306009100447	1.2395514436344819	0.36695131160453237	0.5169266305258424	0.000405323581518643	0.0005530272586657723	0.4671003576491273
Nucleotide_Diversity_10kb1	209575	0.40440434	0.05089074564230034	0.00519944972595886	0.05810179572644496	0.0065691227253300245	0.032336074303953605	0.00494742361301704	0.38134440343727066	0.1040083112144286	1.187448230240896	0.10561440016483511	1.263863360046156	0.1117694089844354	1.0349365995601962	0.11681837493657295	0.7584345283071606	0.125040552433881	0.059165369155320446	-0.00046923739393211583	0.0002457358164900462	0.06205893055120515
Nucleotide_Diversity_10kb2	198023	0.39569727	0.042981126466544506	0.004556851485397008	0.048211817520548636	0.00516717744385824	0.02941527828836886	0.0031764576814134336	0.4295110659595392	0.10390658996355778	1.0617224508919427	0.0498366709688265	1.1132363347462404	0.04516074168681796	0.9963908283461138	0.054714052892723096	0.8542305060137435	0.08068607549769362	0.07696352122759165	-0.00018818730723960543	0.00010062367412012325	0.06743453241030761
Nucleotide_Diversity_10kb3	212935	0.40895012	0.04297256057086714	0.005171697281591005	0.04634699333982648	0.005443338463582094	0.031782940622277794	0.002928573851924109	0.5108727303441066	0.12603706661542657	0.9876166039786778	0.02503672983179014	0.9998282138841528	0.02031200714273718	1.001406259632619	0.021493130745366303	1.0160461639691	0.03493951350276494	0.6480816668242562	4.172500945433342e-07	4.006091725119783e-05	0.9917321617864137
Nucleotide_Diversity_10kb4	191642	0.39166513	0.03575746924272616	0.005179416279392037	0.03800796387482845	0.0053323927932534	0.02894773355476185	0.002725863713170471	0.6031309164628738	0.16831957557652175	0.9160933210148119	0.04624161237773014	0.9135834825503609	0.04816041224263801	1.0141952158706247	0.044869724775481144	1.1995333037848845	0.10478080340060421	0.06275197974816416	0.00014891380571723433	8.240574969466604e-05	0.07689148619308428
Nucleotide_Diversity_10kb5	202077	0.4002556	0.03451186239762527	0.00729096817241803	0.030422874094280836	0.006573006990096601	0.028598572608455157	0.004811636109605616	0.6731698351619398	0.24647987009836275	0.8377399027374582	0.1268040766715205	0.6975245598227422	0.11911278498180011	0.9523628529093721	0.14363570157607575	1.3388297869320607	0.31295605565003554	0.28425177870486706	0.0002676436832837229	0.00023719947439236166	0.26466718726658844
AVGLLD1	202851	0.40099186	0.044301002093273895	0.010054771457486927	0.057198822440483243	0.010956835877209033	0.042611726168778855	0.005919177093216194	0.643962863413892	0.21203948925041244	1.078471951253654	0.16169233117575257	1.300938383382539	0.138169009739101	1.3993339208940756	0.14030060300664932	1.280741676443624	0.20577281682256124	0.17869794456116583	0.0005139256463133242	0.0003815190252114089	0.184160726547409
AVGLLD2	202850	0.40097457	0.04357356516441284	0.005922867477427403	0.05124026907334821	0.006157340428502809	0.03425986311491214	0.0034548195690006717	0.5238506742142063	0.136235826164693	1.053698747800768	0.052560618725986656	1.1592594186233505	0.05056775442195364	1.1353086523576728	0.047893122747183686	1.041857269753782	0.07499981907409851	0.5793185173680748	4.079454291972895e-05	9.77823433258938e-05	0.6783562710724711
AVGLLD3	202850	0.4007482	0.04171604843771356	0.004671017789311135	0.04645851304087287	0.004438780382197505	0.02923060981412655	0.0029676976679429124	0.4452979056085747	0.11386681513274466	1.0064119383189127	0.04027611233485509	1.0488546188403607	0.03393767402213747	0.9714169014634483	0.03968809490600836	0.8856280673120216	0.06647161848246327	0.09163101758877779	-0.00012795455233731076	7.394590232471646e-05	0.08985656748816506
AVGLLD4	202850	0.40086746	0.04046665077098212	0.003992496515341772	0.0399516591313316	0.003473647053002582	0.026062314497645678	0.002725544050454077	0.42546932084275685	0.1016562400056886	0.9731128318111267	0.06140976934386115	0.9003129074833078	0.052226116781356136	0.8666301683098898	0.055043949520585125	0.846192105492969	0.09895668923087822	0.12654983920827312	-0.00014064759458658194	9.827289590569272e-05	0.15872192993650036
AVGLLD5	202851	0.4005594	0.037056545101774044	0.004952566109160597	0.026242257969245134	0.0050920127584682786	0.01891610346386679	0.00375232728175839	0.38318719635014675	0.12003802619842759	0.8883007589286539	0.12966597436667976	0.5906457180151095	0.12079138753789948	0.6273161151342171	0.1162776594232077	0.7620995559332311	0.19452961658213078	0.22719707084567142	-0.00014319416684056927	0.00013421131506564422	0.2912318555106086
BSTAT1	204344	0.40261012	0.02094192159654963	0.008092848227982659	0.027037353225340434	0.0071669313814546	0.019599552133262792	0.0035713535361241193	0.5869109302785104	0.2563711557851805	0.5019660803643472	0.15354355798843985	0.6192108224721818	0.11081189079067237	0.6349489183734803	0.09580181433339456	1.1672742815991561	0.314562917318366	0.5972899445497815	8.452352781505049e-05	0.00013626257730781527	0.5379353954933044
BSTAT2	203669	0.40145433	0.03177837457906897	0.00579981949551281	0.035787075456867525	0.005827823332765293	0.025856938413994005	0.002689862728971276	0.5687718139964754	0.17723444034149982	0.7639870029002677	0.07036929927688547	0.8104045162380871	0.06252561744232446	0.8518357232184691	0.05963400667586275	1.1311984090354803	0.14882583729931362	0.38232056639793077	8.960960723856774e-05	0.00010054137662732132	0.3771395547232912
BSTAT3	203132	0.4008689	0.03749746680930227	0.005211060178160694	0.04227421106258215	0.005779866519186012	0.02983427671102361	0.002890405667112917	0.5483952906550447	0.15960290124686224	0.9056901701465351	0.047982460304124834	0.9563958273727716	0.04955865815239339	0.9901363427346459	0.04686243002891469	1.09067268286853	0.1028412895091779	0.38225672177846026	8.705890278383444e-05	9.541047974375215e-05	0.36599069821557095
BSTAT4	200386	0.39648873	0.04922312919717271	0.004521931963123603	0.05224100282020355	0.004740695428322238	0.03377267467221001	0.002977936339869647	0.45026567747661655	0.09765367913652165	1.2059655482707836	0.068924738248709	1.1900003418226461	0.046907392238439635	1.136551100641644	0.04304276973057494	0.8955081905799004	0.07535669567728502	0.1718314453619434	-0.0001609376585625581	0.00011997002552638086	0.18594844013537415
BSTAT5	202721	0.40094706	0.06767284728890997	0.0056061255974296925	0.06375179578352191	0.006259064274784476	0.04201712960304818	0.005986454839105374	0.429382100844006	0.10376826595716589	1.6300514406518014	0.17876047303668438	1.4302087349431025	0.16527170474007633	1.3917379633740052	0.1421913262792349	0.8539740145176422	0.14392670232048582	0.3152871065262395	-0.00043877856698975367	0.0004391579862067935	0.3226374651407917
ALLELEAGE1	202853	0.40075094	0.056622131608551396	0.01158338417932202	0.05715420090424485	0.012212641851039758	0.048014817626970296	0.010215536690051107	0.5996882055728601	0.18893025981029238	1.3736642326380977	0.25040517126476886	1.3056633541945695	0.2528332075995216	1.5741735993578565	0.2794621684708164	1.1926862888911811	0.23015011477819688	0.4065338256301432	0.0005590646560700435	0.0008283167287052107	0.5028859254908356
ALLELEAGE2	202848	0.40079096	0.04668541987170091	0.006001705543607139	0.051352840040188585	0.006080560157406711	0.036287153243574594	0.004884981329077376	0.5407224252317651	0.15030306416262432	1.1275737986323495	0.0848763671139539	1.1612425213141782	0.09095525500890188	1.1967836884276495	0.1012730881795957	1.075412550516734	0.14458669750134412	0.604317161194684	8.558863421323265e-05	0.00022377943197525907	0.7037677106266265
ALLELEAGE3	202850	0.400797	0.03792138541544542	0.004821482792511888	0.03817966374381942	0.006289579637236876	0.024811678200529895	0.0036794855816663797	0.43466374630723303	0.13922407922397304	0.9188801821184441	0.08059471223917747	0.8701514374649083	0.09167470045784544	0.8240197468787513	0.09353421435829831	0.8644783834017319	0.15479212454184946	0.3855696214007738	-0.0001254859610951125	0.0001372875318175313	0.36517305291659796
ALLELEAGE4	202850	0.40080118	0.03758010580890925	0.0059528155477100685	0.042719417015165906	0.006484464365288904	0.02608732138777181	0.003337694778194152	0.42841140560238244	0.12752238942260188	0.9038565962796298	0.09290121817135044	0.9589584997667728	0.09531690226459336	0.8664173812715563	0.09962242057637498	0.8520434531115355	0.1700169640759753	0.3884095033887296	-0.00013722884965074503	0.00017237204116438235	0.42980245966279185
ALLELEAGE5	202851	0.4007305	0.028304751821211394	0.011079488691061878	0.03168537594359426	0.011711121025762725	0.015879643384519245	0.007330532317532851	0.3511090971113757	0.1732056058288866	0.676018956307773	0.24685269917562072	0.7039929395795237	0.2475467132241349	0.5386079748849029	0.25115700895765825	0.6983012207646657	0.3085168967661219	0.33292714269060575	-0.00025894651511184643	0.0002817867923079348	0.3626260791949938
CpG1	202878	0.40046054	0.021849562711491976	0.005013804636111581	0.021694124021448984	0.004262345444899986	0.014050064145918206	0.0029735227305169626	0.4204440417750878	0.18465102190943683	0.5198975757134782	0.09896502611327868	0.4910587597544817	0.06918660877386272	0.4547499430607738	0.0852302788448116	0.8361976093762157	0.26967087433715464	0.5463796632902795	-5.118924414627114e-05	8.184403726131803e-05	0.5345789201026792
CpG2	203463	0.40120772	0.02781784717385832	0.004788883873571761	0.031429564490300134	0.0043865708244767414	0.01886719590341948	0.0029810271328079303	0.41516527459907965	0.152060796264072	0.6627494602086357	0.07013336351192948	0.7069445138172349	0.0487741830718071	0.6148319558262971	0.07269641296282156	0.8256989649563884	0.17438973612994826	0.32246712797316635	-9.372689977982072e-05	9.231985691867956e-05	0.31497792658859036
CpG3	202895	0.40097702	0.03725343099443275	0.005217158557053674	0.04119254032409409	0.005215609542983273	0.025433792912389872	0.0033188166313608217	0.4299867798808561	0.13170837262049584	0.8920310074241267	0.06315639568246117	0.9283569228707687	0.04724186819843044	0.8363739644372761	0.06747366111987486	0.8551766267913689	0.11374732240921896	0.20895353271540773	-0.00013585892689376214	0.00010258686324707254	0.19153746845160136
CpG4	202273	0.40065745	0.05033083766458693	0.0055386922262276456	0.054500893615384564	0.006038406414097155	0.03629113334700687	0.003833545322336407	0.4846299702350411	0.11763913295977868	1.2159097286493006	0.062035883250326974	1.2329814990457562	0.04753310035953532	1.2051873165438163	0.054426312168209735	0.9638534080104537	0.08175610051762684	0.6603425328154753	-7.69421331790034e-05	0.00013326724609060247	0.5663450884037289
CpG5	202743	0.40156022	0.06986209826766814	0.010302580297187601	0.07227433073269732	0.008331195790731523	0.056438446151360185	0.0065879114560737475	0.5947984342747794	0.15556245140191302	1.7115122673134602	0.19314370928769395	1.6426398261497217	0.12663374312283227	1.891193458712739	0.18044648665382773	1.182961296588784	0.17975023563120518	0.31374215349587864	0.0006196796666654088	0.0006050724571051694	0.310798192777924
